u_priorForDifference,sizeofdiff,sample_Mean1,sample_Mean2,std_dev,sample_size,p0,p1,post_mu2_gt_m1,pvalue,H
0.867996141780168,202.49241278848,-91.2842818849284,-293.776694673408,20.5198852093846,25000,0,1,0,0,0
-0.968685012310743,0,-156.720864357626,-156.720864357626,197.069489711805,25000,0.975,0.025,0.984,0.72353926260885,0.16866093149667
0.167894907295704,18.3796532791278,1319.05678468864,1300.67713140951,382.113324841593,25000,0.062,0.938,0.062,0.000411826803050305,0.335333535878678
0.145299937576056,15.7004675774079,227.59744980463,211.896982227222,182.670578530082,10000,0,1,0,1.01772551851786e-07,0
0.644721540156752,103.485340305822,286.713081597076,390.198421902898,631.380465994393,10000,0,1,1,6.0937685248387e-22,0
-0.866887948941439,0,999.822555392287,999.822555392287,179.187501618903,10000,0.926,0.074,0.929,0.159673727156217,0.380676612706566
-0.684458283241838,0,-479.488682459771,-479.488682459771,45.1464702689009,25000,0.985,0.015,0.999,0.182271393802113,0.112360710099377
0.105932980775833,11.197454104327,-369.202753949809,-358.005299845482,21.8645089113087,10000,0,1,1,5.54889028895968e-249,0
-0.86775287007913,0,1525.68371298931,1525.68371298931,83.9735929313248,25000,0.991,0.00900000000000001,0.998,0.761966747457768,0.0740883836872965
-0.196488789282739,0,299.31332854102,299.31332854102,91.0592334290816,25000,0.993,0.00700000000000001,0.996,0.962435981576409,0.0601724420320086
-0.955284404102713,0,-852.496027919798,-852.496027919798,244.826078943967,25000,0.968,0.032,0.984,0.900579605194255,0.20432467098028
-0.0920798596926033,0,-148.371439474327,-148.371439474327,136.935662783767,25000,0.986,0.014,0.994,0.750028140733677,0.10627369308466
-0.87019088678062,0,272.450233048877,272.450233048877,208.647737321553,10000,0.928,0.072,0.935,0.192902399092888,0.373343321079853
0.38562583969906,48.7151154834942,-2.09328652175498,-50.8084020052492,63.5470829680487,10000,0,1,0,0,0
-0.906668265815824,0,364.185932321674,364.185932321674,1145.7182285803,25000,0.877,0.123,0.905,0.570224012714913,0.53792323105133
-0.0931517984718084,0,-801.437761385294,-801.437761385294,88.3063676771587,10000,0.98,0.02,0.984,0.503324469034617,0.141440542541821
0.863659117370844,199.259703933253,-1969.63144180987,-2168.89114574312,11.8719739912293,10000,0,1,0,0,0
-0.589694998692721,0,-285.051939162591,-285.051939162591,303.722108621506,10000,0.932,0.0679999999999999,0.977,0.412299693655294,0.358415324639275
-0.0501579935662448,0,511.947569538614,511.947569538614,24.9623364856789,10000,0.96,0.04,0.96,0.0276233345936157,0.242292189082415
-0.891871611587703,0,-675.720426204893,-675.720426204893,166.235050880719,10000,0.955,0.045,0.99,0.542565008264474,0.264765033935681
-0.717314472887665,0,-221.079960417788,-221.079960417788,343.420248309546,10000,0.949,0.051,0.982,0.72038623173436,0.290629793328508
-0.684195400681347,0,1507.97431179808,1507.97431179808,427.414376854363,10000,0.921,0.079,0.981,0.529874093717697,0.398645789805976
0.909519318956882,240.261892020085,112.034670652908,-128.227221367177,8.1805856580836,10000,0,1,0,0,0
0.787110053934157,154.697993193736,1479.74030275132,1634.43829594506,168.008850989087,25000,0,1,1,0,0
0.12590087717399,13.4561496912947,599.890557474006,613.346707165301,171.460614347059,10000,0,1,1,6.41507604813888e-10,0
-0.94590854132548,0,1215.13243984407,1215.13243984407,37.3241782861052,10000,0.993,0.00700000000000001,0.995,0.80459901049901,0.0601724420320086
-0.736004936508834,0,-224.900236383342,-224.900236383342,24.9016222867963,25000,0.997,0.003,0.998,0.390058056366847,0.0294640518449223
0.32978555187583,40.0157545982065,-1501.92821420335,-1461.91245960514,219.596370267787,25000,0,1,1,1.22105852844715e-88,0
-0.924774747807533,0,-354.65306303367,-354.65306303367,289.754205778164,10000,0.95,0.05,0.981,0.768788605747782,0.286396957115956
-0.579993711784482,0,187.887508567148,187.887508567148,54.0378796995893,10000,0.987,0.013,0.997,0.452926867964458,0.100082075437788
-0.803451420273632,0,-502.455081416706,-502.455081416706,232.757700784699,10000,0.928,0.072,0.932,0.208330593525463,0.373343321079853
0.666757608298212,109.888515078623,1899.97105980225,1790.08254472363,376.502008049631,10000,0,1,0,6.05006300513645e-93,0
0.111313553061336,11.8010808788717,-754.334402512548,-742.533321633676,22.3893711188663,25000,0,1,1,0,0
0.322427093051374,38.9238120285719,-1911.25357442066,-1950.17738644923,10.1001021749319,25000,0,1,0,0,0
-0.696837368886918,0,-46.9190332598368,-46.9190332598368,159.259511851396,10000,0.974,0.026,0.987,0.705298457552449,0.173917116922218
0.67530121980235,112.485735658612,-881.318828915931,-993.804564574544,191.742940230915,25000,0,1,0,0,0
0.0584235391579568,6.01997224542845,374.609752571224,380.629724816653,118.862294865584,10000,0,1,1,1.28127290809715e-06,0
-0.729439492803067,0,-841.309388293081,-841.309388293081,29.48828636457,10000,0.995,0.005,0.996,0.626481041559291,0.0454146923337941
-0.722896035760641,0,738.205004972475,738.205004972475,42.7758375536008,10000,0.992,0.00800000000000001,0.999,0.710619471339544,0.0672215447583069
0.193288477137685,21.4789143191409,1340.64156033319,1319.16264601405,96.2436077305141,25000,0,1,0,4.12496241207665e-114,0
0.376136266160756,47.182330971768,1092.29939664705,1045.11706567528,102.668225970724,25000,0,1,0,0,0
0.269397583324462,31.3885856830727,-298.227566183082,-266.838980500009,29.1147098821315,10000,0,1,1,0,0
-0.626756972633302,0,-1062.72976411119,-1062.72976411119,18.3299966669983,25000,0.995,0.005,0.999,0.300609069679799,0.0454146923337941
0.366639564745128,45.6715610903596,1348.78301587964,1394.45457697,30.1674442475817,10000,0,1,1,0,0
-0.561238568276167,0,706.495300682908,706.495300682908,8.83695739818903,10000,0.998,0.002,1,0.458961165701883,0.020814071335501
0.451329679228365,60.0257526462807,293.666369513,233.640616866719,121.02150993815,10000,0,1,0,4.2431118788635e-280,0
-0.908260100521147,0,-500.788873510816,-500.788873510816,136.621049123041,10000,0.981,0.019,0.991,0.961038131171233,0.135788412885586
-0.65173119911924,0,-285.616933830675,-285.616933830675,354.53603578275,25000,0.945,0.055,0.959,0.391416411121107,0.30726835986076
0.0928932591341436,9.74951501620212,1062.14689182328,1052.39737680708,58.1623502470049,10000,0,1,0,1.46670860866994e-39,0
0.51340229716152,72.0317569485452,-17.5887627538929,-89.6205197024381,157.235820356865,10000,0,1,0,1.64842461856893e-216,0
-0.276719633955508,0,3146.21020501289,3146.21020501289,69.1390469537059,10000,0.993,0.00700000000000001,0.995,0.626836481190033,0.0601724420320086
-0.234414293430746,0,483.516521455737,483.516521455737,179.191189128629,10000,0.95,0.05,0.954,0.238270894630457,0.286396957115956
-0.330915546044707,0,1091.66057360187,1091.66057360187,324.878338596921,25000,0.956,0.044,0.983,0.797748295290328,0.260340625012451
-0.51304253237322,0,-241.653914611888,-241.653914611888,17.068648248736,25000,0.983,0.017,0.985,0.0757406313143167,0.124247619328041
-0.815532926935703,0,-65.7995697988431,-65.7995697988431,29.0964491350051,10000,0.995,0.005,0.998,0.758080257486446,0.0454146923337941
-0.282650782261044,0,325.423368416098,325.423368416098,203.209234428609,25000,0.973,0.027,0.989,0.904290605792694,0.179116319181652
0.167681728489697,18.3540373436926,54.4290899391403,36.0750525954477,250.90052252381,10000,0,1,0,6.74449660333146e-07,0
0.987883319612592,441.317223128559,209.844155104202,651.161378232761,124.832275549427,10000,0,1,1,0,0
-0.141702279914171,0,174.123799193297,174.123799193297,221.155101884354,25000,0.974,0.026,0.996,0.332102919462494,0.173917116922218
0.773864083457738,148.661905984926,-585.190562747807,-436.528656762881,95.9969900472879,25000,0,1,1,0,0
-0.964504778385162,0,-1630.09226677455,-1630.09226677455,201.753835775514,25000,0.982,0.018,0.985,0.520433853848796,0.130058846179097
-0.125820143148303,0,-293.285725104896,-293.285725104896,56.0233935969859,10000,0.99,0.01,0.993,0.803307975361409,0.0807931358959112
-0.351372746285051,0,-1030.98496395066,-1030.98496395066,43.1625837533032,10000,0.978,0.022,0.982,0.196589977122376,0.152527328508782
-0.993445699103177,0,-384.843922394106,-384.843922394106,346.910413564039,25000,0.886,0.114,0.89,0.109404308284092,0.51186450378756
-0.636009353213012,0,-1860.96894245286,-1860.96894245286,159.760836983814,10000,0.975,0.025,0.988,0.839329059957453,0.16866093149667
-0.297125095967203,0,-28.7290786482265,-28.7290786482265,274.623759161414,10000,0.839,0.161,0.848,0.0936742330653206,0.636696513916622
0.798586239106953,160.239397484984,2261.88499796894,2422.12439545392,217.790886604952,25000,0,1,1,0,0
0.773129817098379,148.337730657798,-966.873527071692,-1115.21125772949,46.7174695700323,25000,0,1,0,0,0
0.559525584802032,81.990291656858,260.361839974614,342.352131631472,167.512336492224,25000,0,1,1,0,0
-0.35012770537287,0,231.042744457281,231.042744457281,72.1250193130475,25000,0.986,0.014,0.993,0.643207807514073,0.10627369308466
0.0757850552909076,7.88106102492144,-273.655471957598,-265.774410932677,317.378710698882,10000,0.888,0.112,0.988,0.19386570968211,0.505919244072741
-0.614269813057035,0,-860.987692408193,-860.987692408193,232.429470832584,10000,0.902,0.098,0.988,0.186198643311028,0.462623491762443
-0.440237550530583,0,1174.22523232015,1174.22523232015,9.6027594700638,10000,0.997,0.003,0.999,0.968529942050319,0.0294640518449223
-0.451178087387234,0,-1553.82252088547,-1553.82252088547,78.6857775586795,25000,0.984,0.016,0.987,0.300217784175986,0.118350011408275
0.32602866133675,39.4567693212512,-17.6597912515684,-57.1165605728197,91.1698090305406,10000,0,1,0,1.13421057364158e-186,0
0.350753161124885,43.1942297338133,-560.626753618301,-603.820983352114,67.2746161481631,10000,0,1,0,0,0
0.839978029485792,183.244415746145,-558.413051170381,-375.168635424236,189.595026648988,25000,0,1,1,0,0
0.680128443986177,113.983575122268,-880.900087205421,-994.883662327689,111.362872614876,10000,0,1,0,0,0
-0.139930056873709,0,-197.488529277709,-197.488529277709,56.4662483656796,10000,0.989,0.011,0.993,0.34937599311849,0.0873519199163162
-0.425406638067216,0,1361.4202691668,1361.4202691668,36.6952911528425,25000,0.987,0.013,0.987,0.104439462234336,0.100082075437788
-0.785591667052358,0,-40.4501519217422,-40.4501519217422,29.0344753399399,25000,0.996,0.004,1,0.716841517513882,0.0376223603222785
0.626889584586024,98.588088326695,529.895898085635,431.30780975894,249.29735349494,10000,0,1,0,8.31513928676385e-180,0
-0.905055411625654,0,-187.769365700297,-187.769365700297,235.277088778115,10000,0.899,0.101,0.906,0.160532673512731,0.472157527246668
-0.449593571946025,0,-924.422804335762,-924.422804335762,28.577414872322,10000,0.994,0.00600000000000001,0.997,0.306152745199778,0.0529150803448477
0.317138165701181,38.1462732263471,-1516.09476656585,-1477.9484933395,24.2305143605384,10000,0,1,1,0,0
-0.860318146646023,0,-284.970251356352,-284.970251356352,421.399042855952,25000,0.842,0.158,0.995,0.0818094572001624,0.629503378228199
-0.610391662456095,0,371.959170344589,371.959170344589,67.3841007247848,10000,0.974,0.026,0.976,0.248662559976148,0.173917116922218
0.873646338935941,206.867046999147,-2214.53765417018,-2007.67060717103,49.6694741364585,10000,0,1,1,0,0
-0.877996828407049,0,1135.77605384919,1135.77605384919,445.844256092002,25000,0.944,0.056,0.985,0.635104174543868,0.311357370429283
-0.40735958237201,0,-742.841905050925,-742.841905050925,142.66604515467,25000,0.981,0.019,0.995,0.299078008439454,0.135788412885586
-0.306691880803555,0,556.770119673755,556.770119673755,178.422822285722,10000,0.946,0.054,0.987,0.364368731831063,0.303151590366192
-0.906298489309847,0,192.391880153873,192.391880153873,123.202043680841,25000,0.981,0.019,0.984,0.325616738894208,0.135788412885586
-0.333542083390057,0,-665.69899859393,-665.69899859393,142.216684864218,10000,0.972,0.028,0.982,0.73089049735121,0.184260593339655
0.696843712590635,119.350680642097,-462.922790166393,-582.273470808491,38.1893741787259,25000,0,1,0,0,0
0.50129567598924,69.5741895902661,-508.674068807382,-439.099879217116,99.5487842537043,25000,0,1,1,0,0
-0.397825207095593,0,883.955991469836,883.955991469836,28.4291884485603,25000,0.995,0.005,0.997,0.937085891702018,0.0454146923337941
-0.3827252862975,0,1439.37176668466,1439.37176668466,75.9067224681808,10000,0.984,0.016,0.997,0.663737539801741,0.118350011408275
-0.58127675158903,0,-1223.63168819219,-1223.63168819219,104.07120850894,10000,0.977,0.023,0.983,0.545754277533848,0.157968546999663
0.530091599561274,75.5217495955642,764.34028133656,688.818531740996,133.333759394054,25000,0,1,0,0,0
0.0643068077042699,6.64676422469565,300.408167832287,307.054932056983,24.0960749514153,10000,0,1,1,2.68276344178467e-86,0
-0.931328679900616,0,478.611686006574,478.611686006574,168.13570961013,10000,0.967,0.033,0.989,0.501307195556348,0.209220477869153
0.430517646018416,56.3027481681912,-718.785985635799,-662.483237467608,38.6654413458877,25000,0,1,1,0,0
0.477983788587153,65.0056635235286,-221.339105787199,-286.344769310727,179.90468788152,10000,0,1,0,5.10087121932781e-131,0
0.951797342393547,303.234112238224,-121.995445189302,181.238667048922,72.4776841250308,25000,0,1,1,0,0
-0.860053725074977,0,704.58445665344,704.58445665344,235.468875477869,10000,0.943,0.0570000000000001,0.958,0.465962965076676,0.315419088938081
0.252095172647387,29.0479545262475,-1155.37136402189,-1126.32340949565,244.450727443175,25000,0,1,1,6.41091846053763e-43,0
-0.904584607575089,0,204.039111180364,204.039111180364,221.940973915521,25000,0.965,0.035,0.994,0.597529332511408,0.218877726539011
-0.305176238529384,0,-400.328679416988,-400.328679416988,40.5431041051528,25000,0.994,0.00600000000000001,0.998,0.893443495133797,0.0529150803448477
-0.959612763952464,0,-334.612781093702,-334.612781093702,35.4398539421863,10000,0.991,0.00900000000000001,0.999,0.632894307467172,0.0740883836872965
0.79475226951763,158.353758804389,-329.440527659897,-171.086768855508,204.490904202912,25000,0,1,1,0,0
0.476298727560788,64.6833847989485,-1416.37675394427,-1481.06013874322,44.54960021319,25000,0,1,0,0,0
0.938905296847224,279.533010800644,-1103.6151018171,-1383.14811261774,38.8116133161286,10000,0,1,0,0,0
0.172737374901772,18.963307076985,-59.394106610593,-40.430799533608,88.1388690579308,25000,0,1,1,1.6909713363924e-137,0
0.312141264323145,37.4171788182156,843.749831487368,806.332652669153,54.0355449393184,10000,0,1,0,0,0
0.208579775877297,23.3926195489121,-1127.9608415298,-1151.35346107871,244.335265654992,25000,0,1,0,2.20220742905577e-26,0
-0.0465139481239021,0,-694.990985634216,-694.990985634216,9.15143737969782,10000,0.999,0.001,0.999,0.691159169047947,0.0114077577374611
0.437483235727996,57.5334342197437,-412.117495227226,-354.584061007482,1147.99160810591,25000,0,1,1,1.97262780647136e-08,0
0.85876508615911,195.733071932588,-407.124569660552,-211.391497727964,81.0082039519119,25000,0,1,1,0,0
-0.954418565612286,0,-829.689288423719,-829.689288423719,87.239001616686,10000,0.987,0.013,0.997,0.888655592930821,0.100082075437788
0.576424753759056,85.9024103598483,-2240.00831181191,-2325.91072217176,37.91803895269,10000,0,1,0,0,0
0.604582526255399,92.7813176645956,-1530.55658835241,-1623.337906017,64.1567928019695,10000,0,1,0,0,0
-0.796746411826462,0,1700.94033568425,1700.94033568425,234.216817715419,10000,0.963,0.037,0.974,0.920710333857228,0.228364025840565
-0.309042415115982,0,327.202063310461,327.202063310461,146.105622603011,10000,0.964,0.036,0.992,0.34883191732015,0.223641664484481
