u_priorForDifference,sizeofdiff,sample_Mean1,sample_Mean2,std_dev,sample_size,p0,p1,post_mu2_gt_m1,pvalue,H
0.707393356133252,122.892608434239,255.256434965197,378.149043399436,499.737074945111,25000,0,1,1,7.01314106926998e-151,0
-0.135405079927295,0,-146.839712435096,-146.839712435096,86.5437338175352,10000,0.832,0.168,0.835,0.0141153655765558,0.653109112141867
-0.440200936980546,0,-923.29196351125,-923.29196351125,587.224860707714,10000,0.814,0.186,0.834,0.172600352860678,0.693028368603268
0.968243848066777,344.966881073649,-286.779597809413,-631.746478883063,40.7955093111818,25000,0,1,0,0,0
0.275819576811045,32.2714714342744,776.982569785822,744.711098351548,335.262521153973,25000,0,1,0,5.02574851304513e-25,0
-0.859465108718723,0,176.644568211344,176.644568211344,215.238503323207,10000,0.952,0.048,0.962,0.469337701467784,0.27783957395831
0.940304092131555,281.849180585006,-121.591154239112,160.258026345894,2492.59928636438,10000,0,1,1,1.40837109168741e-14,0
0.910747458226979,241.628537947838,535.449829754639,777.078367702476,61.7172425342532,10000,0,1,1,0,0
-0.873935996554792,0,697.032304627517,697.032304627517,774.630583305203,25000,0.831,0.169,0.98,0.174408913029576,0.655412081844242
0.209616978652775,23.5237613868238,-647.172424606463,-623.648663219639,53.4434434734873,25000,0,1,1,0,0
-0.382119091227651,0,-248.368961828273,-248.368961828273,35.5920940600948,25000,0.992,0.00800000000000001,0.995,0.475054088776418,0.0672215447583069
0.123949165455997,13.2331159428065,1072.83384193266,1059.60072598986,119.107869707252,10000,0,1,0,9.92501303338589e-13,0
0.256442086305469,29.6308622780512,-152.640579001262,-182.271441279313,244.757343058509,10000,0,1,0,9.59465331773024e-17,0
0.0293147196061909,2.9752982287646,1291.22310138151,1294.19839961028,1687.10339418731,10000,0.816,0.184,0.901,0.977846072330711,0.688749805698856
-0.616047080140561,0,-700.833731452754,-700.833731452754,77.3432126872818,10000,0.955,0.045,0.956,0.09729209037304,0.264765033935681
0.189609187655151,21.0238663297457,540.866411714363,561.890278044109,66.6829856442863,10000,0,1,1,1.44162002142564e-107,0
0.772394272498786,148.014041227852,1146.91704656434,998.903005336489,105.356162949803,10000,0,1,0,0,0
0.485491822008044,66.4543828806259,998.957426059582,932.503043178956,72.5069261170811,10000,0,1,0,0,0
