u_priorForDifference,sizeofdiff,sample_Mean1,sample_Mean2,std_dev,sample_size,p0,p1,post_mu2_gt_m1,pvalue,H
0.319337876979262,38.4689244235763,-2369.46909285766,-2407.93801728123,76.8930444095779,25000,0,1,0,0,0
0.254302437417209,29.3435173067486,1908.34060179155,1878.9970844848,46.4155285988817,10000,0,1,0,0,0
0.484193288255483,66.2023173319209,-702.756466568556,-768.958783900477,106.877994210538,25000,0,1,0,0,0
-0.783543669153005,0,-449.202463320648,-449.202463320648,124.312765913794,25000,0.985,0.015,0.998,0.479564951319501,0.112360710099377
0.541310142260045,77.9380988502127,88.0018787037246,10.0637798535118,158.98139315078,10000,0,1,0,3.32916151283762e-232,0
0.429248424712569,56.08012335455,-681.943783207754,-738.023906562304,58.6637201133687,10000,0,1,0,0,0
0.0131660904735327,1.32535317976872,955.982370257383,957.307723437152,110.743055482168,25000,0.977,0.023,0.997,0.255669130513211,0.157968546999663
0.0772533621639013,8.04005807133476,-661.742470784618,-653.702412713283,20.0272470290923,25000,0,1,1,0,0
0.688718148041517,116.705650082957,584.477780431827,467.772130348871,723.446045480657,10000,0,1,0,2.77734968958708e-31,0
-0.55895208241418,0,-1583.96576271086,-1583.96576271086,85.5412265206941,10000,0.905,0.095,0.908,0.0486348940868732,0.452942548187283
-0.430117258802056,0,-883.352736120875,-883.352736120875,379.834043265507,25000,0.952,0.048,0.961,0.371649760990323,0.27783957395831
0.454371307510883,60.5816584962615,586.391928436533,525.810269940271,56.1938879926955,25000,0,1,0,0,0
0.0341841392219067,3.47820832525127,385.387304768466,381.909096443215,397.932240754013,10000,0.799,0.201,0.808,0.0856193060966664,0.723923592085669
0.979733033571392,389.876298790226,978.305672785326,588.4293739951,126.583353613325,25000,0,1,0,0,0
-0.027066093403846,0,629.100091289948,629.100091289948,47.1262272008942,25000,0.993,0.00700000000000001,0.997,0.551096842378267,0.0601724420320086
-0.10434201406315,0,-679.765086197177,-679.765086197177,158.22877416596,25000,0.977,0.023,0.995,0.565908387385144,0.157968546999663
-0.376863556914032,0,854.93045518575,854.93045518575,254.08583840909,10000,0.869,0.131,0.88,0.124567163039401,0.560174324698967
-0.0845719017088413,0,578.850499403428,578.850499403428,123.494162425353,25000,0.978,0.022,0.982,0.398158765843632,0.152527328508782
-0.671385698951781,0,-1605.5764926248,-1605.5764926248,12.231658433123,10000,0.994,0.00600000000000001,1,0.290097369023993,0.0529150803448477
-0.0828133709728718,0,1018.87455459868,1018.87455459868,116.462061087353,25000,0.971,0.029,0.999,0.166311991914019,0.189351847461352
-0.279614027123898,0,-868.681571709243,-868.681571709243,25.3793645157737,10000,0.993,0.00700000000000001,0.995,0.759994757144631,0.0601724420320086
0.6688028620556,110.504149798059,451.028818797773,561.532968595832,123.605953239565,25000,0,1,1,0,0
0.22706051543355,25.7554519919221,-341.166019956648,-366.921471948571,108.295147415349,10000,0,1,0,7.24784447000958e-78,0
0.612043677829206,94.6862517420293,539.634050808039,444.947799066009,17.6193303483089,10000,0,1,0,0,0
-0.272623629309237,0,710.524791588597,710.524791588597,150.551059247047,25000,0.964,0.036,0.998,0.17997148336965,0.223641664484481
0.025287329684943,2.5612548528779,-51.909161165433,-49.3479063125551,32.0599522525258,10000,0,1,1,1.76489123236555e-08,0
0.120657211635262,12.8580481931092,-115.776425035749,-102.91837684264,37.0579185209671,10000,0,1,1,6.30408829852435e-125,0
0.505664289463311,70.4540416616213,-590.01765248199,-660.471694143612,6.2995115007064,10000,0,1,0,0,0
-0.0991154420189559,0,202.618019573685,202.618019573685,121.031459833277,25000,0.924,0.076,0.999,0.0507254238443226,0.387925679371937
0.0811498248949647,8.46322002709495,30.8669881523559,22.403768125261,40.4943716532455,25000,0,1,0,1.13495936380576e-117,0
0.814576904755086,168.511506378701,644.56122543366,813.072731812362,49.3299341694442,10000,0,1,1,0,0
0.594040029216558,90.1500718370578,-7.24525058041349,82.9048212566443,205.856958326498,10000,0,1,1,1.45051493093975e-206,0
-0.743610289879143,0,38.1695223657129,38.1695223657129,155.743520026051,10000,0.945,0.055,0.953,0.261004656716075,0.30726835986076
0.498944130260497,69.1037667668656,-1157.02810991755,-1087.92434315068,28.9791434263516,10000,0,1,1,0,0
0.517003042157739,72.7744923812628,1463.9024924889,1391.12800010764,49.7621285054323,25000,0,1,0,0,0
0.121399533934891,12.9425016977238,400.267525195393,413.210026893117,133.955464461088,25000,0,1,1,3.48952312065606e-41,0
-0.386718167923391,0,837.915237562817,837.915237562817,73.1447131453741,25000,0.982,0.018,0.985,0.317841035900931,0.130058846179097
-0.9361004778184,0,-841.086217255028,-841.086217255028,100.29858601689,25000,0.976,0.024,0.996,0.292632844152494,0.163345543183402
-0.511158039793372,0,1360.09931822125,1360.09931822125,153.704299614439,25000,0.965,0.035,0.972,0.334310111132386,0.218877726539011
0.117990439292043,12.5552383229157,1583.33899760477,1570.78375928185,401.283458089083,25000,0.809,0.191,0.816,0.0606715419994001,0.703558701531407
-0.135699586011469,0,975.22784591663,975.22784591663,137.860483955939,10000,0.977,0.023,0.985,0.59161258695697,0.157968546999663
0.979408608749509,388.288219099293,176.458344127604,-211.829874971689,46.6874748126948,10000,0,1,0,0,0
-0.039630074519664,0,325.3038320026,325.3038320026,140.478795689725,25000,0.974,0.026,0.979,0.31827410466653,0.173917116922218
0.860837492160499,197.211290759388,2595.99793535161,2793.20922611099,130.694585096167,25000,0,1,1,0,0
0.620291644241661,96.8351805775454,-23.8016018821571,-120.636782459703,79.3801579263194,10000,0,1,0,0,0
-0.877400979865342,0,1039.97025864844,1039.97025864844,787.409809125355,25000,0.887,0.113,0.905,0.2780131775861,0.508899070864127
0.286013615317643,33.6891385896698,-673.262438564092,-706.951577153762,75.6998351998389,10000,0,1,0,1.94730941515783e-214,0
0.269002223853022,31.3344861443582,-1105.53594038997,-1136.87042653432,243.775416162302,25000,0,1,0,7.72462873458541e-59,0
-0.506106165237725,0,879.874335243218,879.874335243218,239.636024405762,10000,0.923,0.077,0.929,0.241625938844167,0.39151926988153
-0.58241437934339,0,601.117235206853,601.117235206853,255.854238135179,10000,0.964,0.036,0.973,0.683734418412336,0.223641664484481
0.308955653104931,36.9551279422737,-464.767240116256,-427.812112173982,96.9483090370105,10000,0,1,1,1.05455898296418e-174,0
-0.795159151777625,0,-194.966731005474,-194.966731005474,178.230180009001,10000,0.961,0.039,0.968,0.501392414457496,0.237688289562885
0.552002236247063,80.2967038202518,387.430731188024,307.134027367772,227.829098553521,25000,0,1,0,0,0
-0.19848764128983,0,2423.00870083155,2423.00870083155,254.095732821848,10000,0.966,0.034,0.99,0.962653267615884,0.214071068104219
0.731721749063581,131.573058731703,439.822742861602,308.249684129898,37.2362413580481,25000,0,1,0,0,0
0.284610117785633,33.492759509429,-1222.30816495316,-1188.81540544373,24.5643906850068,25000,0,1,1,0,0
-0.53468274185434,0,343.378020084615,343.378020084615,28.9781500304578,10000,0.981,0.019,0.999,0.100673542335283,0.135788412885586
-0.730304067023098,0,-182.492738294415,-182.492738294415,197.749213296187,10000,0.965,0.035,0.993,0.588697154655895,0.218877726539011
