u_priorForDifference,sizeofdiff,sample_Mean1,sample_Mean2,std_dev,sample_size,p0,p1,post_mu2_gt_m1,pvalue,H
-0.240286888554692,0,533.750278868297,533.750278868297,104.018851984121,25000,0.894,0.106,0.998,0.0348602564954654,0.487731583540502
-0.171188433654606,0,784.497659943394,784.497659943394,106.336651750689,10000,0.981,0.019,0.994,0.816283145747548,0.135788412885586
0.466380238998681,62.8071751705649,122.958246480372,185.765421650937,74.219378126838,25000,0,1,1,0,0
-0.920539483428001,0,-403.593598549723,-403.593598549723,68.3738983686259,25000,0.977,0.023,0.979,0.0846706881868789,0.157968546999663
-0.903976839501411,0,926.963515230004,926.963515230004,96.4136265873754,25000,0.94,0.0600000000000001,0.942,0.0663956304383573,0.327444919154476
-0.460506971925497,0,479.921564109654,479.921564109654,180.858314509134,10000,0.961,0.039,0.966,0.398298010715468,0.237688289562885
-0.989209278021008,0,-98.6654399306343,-98.6654399306343,365.702539863581,10000,0.857,0.143,0.869,0.135565568101948,0.592041938748365
0.982319733593613,403.53061536516,-181.155170494749,222.375444870411,86.8212255330075,10000,0,1,1,0,0
-0.142591068055481,0,1198.37492108189,1198.37492108189,133.681972243444,25000,0.967,0.033,0.995,0.218215889648039,0.209220477869153
-0.110915363766253,0,385.803026041147,385.803026041147,37.4986065315786,25000,0.998,0.002,0.999,0.733234264517179,0.020814071335501
-0.27711603557691,0,-67.9460276571434,-67.9460276571434,20.9319361319208,10000,0.994,0.00600000000000001,0.998,0.258037621647205,0.0529150803448477
0.784308285918087,153.390514040964,-1214.39391823145,-1061.00340419049,320.150802092102,10000,0,1,1,7.26774757789237e-247,0
0.650759115349501,105.19933809695,-2052.76690240645,-1947.5675643095,44.7350876700206,25000,0,1,1,0,0
-0.957404808606952,0,775.947258708703,775.947258708703,187.72985761348,10000,0.961,0.039,0.991,0.389652711015018,0.237688289562885
0.64529602508992,103.647171086535,180.536130993195,76.8889599066595,38.4433963074054,10000,0,1,0,0,0
-0.0674629500135779,0,-1076.47090721761,-1076.47090721761,106.797793288996,10000,0.978,0.022,0.984,0.742678738538875,0.152527328508782
0.116433342918754,12.3788543456854,548.896590141661,536.517735795975,55.9343754256431,10000,0,1,0,2.15959378967117e-59,0
0.26886478997767,31.3156870505608,-405.641937072859,-374.326250022298,1901.83831493892,10000,0.618,0.382,0.966,0.170226372056415,0.959442321107528
