p0,p1,post_mu2_gt_m1,H,pvalue1
0,1,0,0,5.255e-18
0,1,1,0,2.499e-05
0,1,0,0,8.399e-08
0.21,0.79,0.985,0.513956670617226,0.0106
0,1,0,0,5.66e-31
0.009,0.991,0.999,0.051354154265093,0.0002522
0,1,0,0,4.576e-24
0.262,0.738,0.28,0.575138476441581,0.026
0,1,1,0,6.526e-18
0.314,0.686,0.332,0.622263828786988,0.0285
0.003,0.997,0.003,0.0204229244641799,0.0002856
0,1,0,0,4.434e-24
0.742,0.258,0.915,0.570954567642163,0.538
0,1,0,0,2.404e-07
0.7,0.3,0.733,0.610864302054894,0.251
0,1,0,0,2.566e-07
0,1,0,0,3.667e-32
0.755,0.245,0.847,0.556775116715665,0.665
0.608,0.392,0.67,0.669634309548846,0.252
0,1,1,0,6.084e-07
0.052,0.948,0.055,0.204362537478142,0.00204
0,1,0,0,2.071e-27
0,1,1,0,1.154e-14
0,1,1,0,8.412e-20
0,1,0,0,3.638e-08
0,1,1,0,2.815e-07
0.014,0.986,1,0.0736633107293249,8.241e-06
0,1,0,0,1.214e-10
0,1,1,0,1.362e-09
0.619,0.381,0.675,0.664551553267099,0.247
0.515,0.485,0.545,0.692697113035634,0.0834
0,1,1,0,4.383e-05
0.662,0.338,0.956,0.639699968278577,0.219
0.215,0.785,0.224,0.520506384475499,0.0149
0,1,0,0,3.617e-29
0.417,0.583,0.959,0.6793051948497,0.0849
0.755,0.245,0.84,0.556775116715665,0.646
0.66,0.34,0.837,0.641035477881156,0.912
0,1,0,0,1.22e-20
0,1,1,0,2.403e-08
0,1,0,0,4.686e-10
0.512,0.488,0.576,0.692859152905573,0.14
0,1,0,0,4.746e-19
0.631,0.369,0.74,0.658421318067677,0.451
0,1,1,0,1.335e-08
0.578,0.422,0.952,0.680929340366306,0.177
0.636,0.364,0.732,0.655684984878046,0.415
0.356,0.644,0.968,0.65108195918761,0.0445
0.312,0.688,0.96,0.620691563887438,0.0466
0.298,0.702,0.315,0.609160170377407,0.0309
0,1,0,0,6.735e-06
0.1,0.9,0.994,0.325082973391448,0.00526
0.022,0.978,1,0.105723887714203,0.0009695
0,1,0,0,2.219e-22
0,1,1,0,6.358e-47
0.749,0.251,0.875,0.563431092605662,0.887
0,1,0,0,3.812e-06
0.706,0.294,0.809,0.605694469714336,0.731
0,1,1,0,3.155e-16
0,1,0,0,3.678e-18
0.131,0.869,0.133,0.388283253787161,0.00873
0,1,1,0,5.764e-08
0.736,0.264,0.922,0.577199348367057,0.43
0.748,0.252,0.886,0.564521721404349,0.701
0,1,0,0,1.296e-19
0,1,0,0,6.031e-06
0,1,1,0,1.979e-10
0,1,0,0,1.041e-06
0.029,0.971,0.031,0.131248699201653,0.0004751
0,1,0,0,6.416e-24
0,1,1,0,1.39e-05
0,1,0,0,4.766e-07
0.036,0.964,0.036,0.155016589193151,0.00111
0,1,0,0,4.902e-14
0,1,1,0,4.301e-30
0,1,0,0,4.118e-12
0,1,1,0,1.489e-09
0.632,0.368,0.891,0.657882660635157,0.462
0,1,1,0,1.728e-09
0.484,0.516,0.955,0.692635093142801,0.1
0,1,1,0,7.297e-09
0.601,0.399,0.69,0.672604117987422,0.244
0,1,0,0,4.236e-06
0.004,0.996,0.004,0.0260778329833977,0.0001492
0.041,0.959,1,0.171109283434043,0.00111
0.004,0.996,0.004,0.0260778329833977,0.0005248
0,1,1,0,6.18e-17
0,1,0,0,1.968e-16
0.56,0.44,0.944,0.685929800252373,0.184
0.698,0.302,0.823,0.612549386006791,0.7
0,1,1,0,2.013e-39
0.617,0.383,0.965,0.665513690376325,0.169
0,1,0,0,6.731e-23
0.556,0.444,0.944,0.686862001658906,0.163
0,1,1,0,2.499e-14
0,1,0,0,1.179e-14
0,1,1,0,7.756e-09
0,1,0,0,8.715e-11
0.004,0.996,0.004,0.0260778329833977,0.0002421
0.472,0.528,0.969,0.691578359988849,0.0722
0.657,0.343,0.92,0.643005335459831,0.335
0.047,0.953,0.051,0.18958533851931,0.00391
0.571,0.429,0.608,0.683031022048436,0.156
0.715,0.285,0.914,0.597613844579356,0.555
0,1,1,0,1.05e-07
0.608,0.392,0.682,0.669634309548846,0.251
0.77,0.23,0.86,0.53927634149705,0.867
0,1,0,0,3.007e-40
0,1,1,0,3.847e-16
0,1,1,0,5.161e-05
0,1,1,0,2.565e-36
0.633,0.367,0.941,0.657339703528846,0.266
0,1,1,0,4.045e-60
0,1,1,0,2.184e-18
0,1,0,0,1.232e-51
0.549,0.451,0.58,0.688337464477697,0.0961
0,1,1,0,5.104e-12
0.678,0.322,0.87,0.628367820093249,0.846
0.423,0.577,0.972,0.681241859470388,0.0757
0,1,0,0,2.252e-09
0,1,1,0,1.183e-20
0,1,0,0,4.039e-21
0,1,1,0,1.095e-27
0,1,1,0,9.955e-29
0,1,0,0,5.77e-18
0,1,0,0,1.226e-11
0.001,0.999,0.001,0.00790725511223209,5.731e-05
0,1,0,0,1.152e-23
0.665,0.335,0.773,0.637663168784597,0.623
0.076,0.924,0.991,0.26888959092346,0.00382
0.061,0.939,1,0.229710238291006,0.00104
0,1,0,0,7.024e-28
0,1,1,0,1.942e-06
0,1,0,0,1.697e-07
0.681,0.319,0.896,0.626113386705954,0.585
0.004,0.996,0.004,0.0260778329833977,0.0004851
0,1,1,0,8.895e-09
0,1,0,0,8.498e-22
0,1,1,0,1.281e-17
0,1,0,0,9.862e-13
0,1,1,0,5.862e-10
0.363,0.637,0.396,0.655124779544528,0.0501
0.043,0.957,0.998,0.177363828386837,0.00329
0.317,0.683,0.974,0.624587427576189,0.0349
0.317,0.683,0.975,0.624587427576189,0.0295
0.292,0.708,0.985,0.603932750384645,0.0239
0,1,1,0,8.064e-18
0,1,1,0,7.233e-42
0,1,1,0,1.272e-29
0.501,0.499,0.937,0.693145180558612,0.142
0,1,0,0,1.459e-09
0.012,0.988,1,0.0650018938097877,8.146e-05
0,1,1,0,1.803e-36
0.787,0.213,0.905,0.517904416181533,0.814
0.666,0.334,0.784,0.63697526674802,0.626
0,1,0,0,5.857e-05
0.591,0.409,0.658,0.676492513873627,0.214
0.757,0.243,0.864,0.554513365398235,0.734
0,1,1,0,1.611e-11
0,1,1,0,1.681e-35
0,1,1,0,5.142e-10
0.007,0.993,1,0.0417083585418935,0.0002416
0,1,0,0,5.158e-07
0,1,1,0,2.711e-09
0.702,0.298,0.803,0.609160170377407,0.614
0,1,1,0,1.943e-07
0,1,1,0,3.5e-14
0,1,0,0,2.384e-25
0.699,0.301,0.864,0.611709220471292,0.764
0,1,0,0,2.071e-15
0.145,0.855,0.155,0.413937130390224,0.01
0,1,0,0,4.366e-11
0.733,0.267,0.852,0.580252087706355,0.903
0,1,1,0,3.796e-17
0,1,1,0,1.424e-06
0,1,0,0,2.286e-16
0,1,1,0,1.133e-53
0.023,0.977,0.024,0.109495452969968,0.0006119
0,1,0,0,3.956e-16
0.38,0.62,0.415,0.664064126564108,0.0651
0.525,0.475,0.945,0.69189665920508,0.123
0,1,0,0,5.781e-20
0.171,0.829,0.993,0.457468302213023,0.0106
0.164,0.836,0.177,0.446243664280158,0.0175
0,1,1,0,7.334e-55
0.748,0.252,0.913,0.564521721404349,0.667
0,1,0,0,2.523e-08
0.474,0.526,0.979,0.691794570598635,0.0617
0,1,1,0,5.591e-23
0.246,0.754,0.989,0.557897875664777,0.0139
0.487,0.513,0.938,0.692809142468311,0.175
0.627,0.373,0.964,0.660533047478153,0.152
0,1,0,0,4.412e-08
0,1,0,0,5.751e-09
0.609,0.391,0.695,0.669193297992532,0.298
0,1,1,0,5.878e-20
0,1,1,0,1.854e-53
0,1,1,0,4.279e-20
0.563,0.437,0.947,0.685188042082719,0.153
0.012,0.988,0.013,0.0650018938097877,0.0003988
0.021,0.979,0.999,0.101905829752576,0.0004468
0,1,1,0,1.112e-08
0,1,1,0,9.358e-23
0,1,0,0,2.182e-11
0.01,0.99,0.999,0.0560015343548473,0.0003342
0,1,1,0,6.04e-11
0,1,0,0,1.039e-20
0,1,0,0,7.074e-38
0,1,0,0,1.595e-08
0.012,0.988,0.013,0.0650018938097877,0.0003475
0,1,0,0,3.552e-11
0,1,0,0,2.511e-12
0,1,0,0,3.213e-07
0,1,0,0,1.209e-05
0,1,1,0,5.642e-43
0.263,0.737,0.976,0.576171491975844,0.027
0.36,0.64,0.38,0.653418194793702,0.0447
0,1,1,0,7.363e-06
0,1,0,0,5.049e-41
0,1,0,0,6.868e-14
0.528,0.472,0.564,0.691578359988849,0.129
0,1,1,0,3.513e-07
0,1,0,0,3.421e-12
0,1,1,0,1.605e-10
0.357,0.643,0.976,0.651672547202017,0.037
0.161,0.839,0.172,0.441324393493653,0.0124
0,1,0,0,8.553e-09
0,1,1,0,3.941e-14
0.268,0.732,0.99,0.581259431985547,0.0273
0.007,0.993,0.009,0.0417083585418935,0.0001569
0.012,0.988,0.012,0.0650018938097877,0.0004941
0,1,0,0,2.788e-40
0,1,0,0,1.643e-11
0.007,0.993,0.007,0.0417083585418935,0.0004061
0.038,0.962,0.041,0.161535103372125,0.00171
0,1,1,0,4.647e-10
0.525,0.475,0.965,0.69189665920508,0.0991
0.505,0.495,0.538,0.693097179726579,0.0867
0,1,0,0,4.223e-61
0.08,0.92,0.999,0.278769371768587,0.00265
0,1,0,0,1.352e-07
0.203,0.797,0.985,0.504533286240853,0.0188
0.772,0.228,0.917,0.536848402961397,0.738
0.437,0.563,0.495,0.685188042082719,0.0935
0,1,0,0,4.213e-05
0,1,0,0,1.248e-06
0.103,0.897,0.108,0.331625084927744,0.00607
0,1,1,0,1.472e-29
0,1,1,0,8.419e-13
0,1,1,0,4.846e-16
0,1,0,0,7.343e-05
0,1,1,0,3.005e-09
0.116,0.884,0.988,0.358878773442122,0.00546
0.729,0.271,0.876,0.584250927889426,0.925
0.058,0.942,0.061,0.221428615719511,0.00108
0.604,0.396,0.661,0.671356435772735,0.285
0.374,0.626,0.394,0.66105027844044,0.0406
0,1,0,0,9.17e-11
0,1,0,0,8.64e-12
0,1,1,0,3.78e-65
0,1,0,0,5.526e-08
0,1,1,0,7.185e-30
0.023,0.977,0.999,0.109495452969968,0.0007277
0.435,0.565,0.975,0.68467321736082,0.0835
0.707,0.293,0.873,0.604816023751259,0.851
