p0,p1,post_mu2_gt_m1,H,pvalue1
0.019,0.981,0.019,0.0941213555443535,0.0007674
0,1,0,0,1.543e-45
0,1,0,0,1.063e-09
0,1,1,0,3.221e-17
0,1,1,0,1.293e-20
0.755,0.245,0.939,0.556775116715665,0.494
0.167,0.833,0.174,0.451097288383559,0.0129
0,1,1,0,3.903e-05
0,1,0,0,2.099e-06
0.005,0.995,0.005,0.0314790659471667,0.0002916
0.705,0.295,0.897,0.606568097879241,0.522
0,1,0,0,8.686e-27
0,1,0,0,3.609e-25
0,1,1,0,7.712e-09
0.327,0.673,0.968,0.632033696247833,0.0344
0,1,0,0,5.928e-16
0.766,0.234,0.84,0.544064595967142,0.555
0.706,0.294,0.825,0.605694469714336,0.825
0,1,1,0,7.05e-13
0.005,0.995,0.005,0.0314790659471667,0.0004367
0.191,0.809,0.216,0.487669730324911,0.0153
0.228,0.772,0.25,0.536848402961397,0.0264
0,1,0,0,3.976e-37
0,1,0,0,5.522e-12
0.003,0.997,1,0.0204229244641799,0.0001646
0,1,0,0,1.793e-08
0,1,1,0,1.734e-08
0.484,0.516,0.96,0.692635093142801,0.0717
0.793,0.207,0.878,0.509954674019771,0.797
0.747,0.253,0.878,0.56560704503986,0.901
0.495,0.505,0.545,0.693097179726579,0.146
0.182,0.818,0.196,0.474412670593113,0.0135
0,1,1,0,1.576e-15
0.259,0.741,0.992,0.572008347657556,0.019
0.729,0.271,0.779,0.584250927889426,0.314
0,1,1,0,8.275e-09
0.268,0.732,0.278,0.581259431985547,0.0179
0,1,1,0,2.559e-35
0.019,0.981,1,0.0941213555443535,0.0008229
0.003,0.997,1,0.0204229244641799,5.036e-05
0.756,0.244,0.852,0.555646951618869,0.703
0,1,0,0,5.345e-08
0.013,0.987,0.013,0.0693716084142908,0.0001123
0,1,0,0,1.699e-16
0,1,0,0,2.41e-20
0,1,0,0,6.747e-38
0.483,0.517,0.97,0.692569069147086,0.0804
0.539,0.461,0.959,0.690102088440733,0.123
0,1,1,0,5.209e-16
0.603,0.397,0.658,0.67177650592283,0.225
0,1,0,0,9.783e-15
0,1,1,0,1.185e-26
0.029,0.971,0.03,0.131248699201653,0.0003831
0.535,0.465,0.57,0.690695175794653,0.101
0,1,0,0,1.058e-07
0.01,0.99,0.012,0.0560015343548473,0.0004211
0,1,1,0,3.115e-12
0,1,1,0,7.357e-06
0,1,1,0,7.103e-19
0,1,1,0,1.523e-22
0,1,0,0,1.371e-38
0,1,0,0,1.753e-39
0,1,0,0,1.616e-08
0.051,0.949,0.999,0.201449221832375,0.00148
0.666,0.334,0.901,0.63697526674802,0.511
0,1,0,0,1.223e-12
0,1,0,0,4.084e-06
0,1,1,0,4.452e-29
0.674,0.326,0.818,0.631309637901695,0.753
0,1,1,0,1.337e-12
0.732,0.268,0.879,0.581259431985547,0.864
0.288,0.712,0.311,0.600351187777658,0.0301
0,1,1,0,1.278e-18
0,1,0,0,5.19e-48
0,1,0,0,7.508e-09
0.005,0.995,1,0.0314790659471667,0.000213
0,1,1,0,6.962e-12
0.035,0.965,0.035,0.151714479037886,0.00233
0,1,1,0,5.807e-09
0.016,0.984,1,0.0820339767268832,0.00118
0.71,0.29,0.907,0.60215168259268,0.604
0.013,0.987,0.998,0.0693716084142908,0.00119
0.014,0.986,0.015,0.0736633107293249,0.0001988
0.052,0.948,1,0.204362537478142,0.00205
0.548,0.452,0.577,0.688532076450456,0.0907
0.02,0.98,1,0.098039113279732,0.0002128
0,1,1,0,1.293e-43
0,1,1,0,3.122e-05
0,1,0,0,7.55e-17
0,1,1,0,7.566e-11
0,1,1,0,3.107e-18
0.746,0.254,0.883,0.566687077407423,0.858
0.511,0.489,0.555,0.692905161034832,0.114
0,1,0,0,4.14e-05
0.536,0.464,0.578,0.690552936415205,0.132
0.018,0.982,0.019,0.0901499225359206,0.0003347
0,1,0,0,2.009e-28
0,1,1,0,7.454e-34
0.649,0.351,0.734,0.648063481404664,0.324
0.06,0.94,0.997,0.226967522500604,0.00313
0,1,1,0,4.262e-40
0.047,0.953,0.049,0.18958533851931,0.00252
0.022,0.978,1,0.105723887714203,0.0006648
0,1,1,0,4.38e-08
0.056,0.944,0.998,0.215816483459616,0.00223
0.448,0.552,0.958,0.687729389315267,0.111
0,1,0,0,4.423e-08
0.755,0.245,0.856,0.556775116715665,0.674
0,1,1,0,4.816e-06
0,1,1,0,2.135e-12
0.053,0.947,0.998,0.207255566316659,0.00471
0.682,0.318,0.809,0.6253527126088,0.774
0,1,1,0,4.47e-12
0,1,1,0,6.325e-08
0.306,0.694,0.356,0.615862697192986,0.0433
0.081,0.919,0.087,0.281204951008793,0.0041
0,1,0,0,1.212e-06
0.007,0.993,0.007,0.0417083585418935,0.0001513
0.061,0.939,0.063,0.229710238291006,0.00267
0.005,0.995,1,0.0314790659471667,2.539e-05
0,1,1,0,1.645e-05
0,1,0,0,9.742e-32
0.555,0.445,0.944,0.687084920288889,0.144
0,1,0,0,2.252e-48
0.708,0.292,0.908,0.603932750384645,0.578
0,1,0,0,2.463e-18
0,1,0,0,1.417e-51
0,1,1,0,3.274e-05
0,1,0,0,3.371e-18
0,1,1,0,1.94e-22
0,1,1,0,7.746e-10
0,1,1,0,2.392e-11
0,1,0,0,1.523e-08
0,1,0,0,1.981e-15
0,1,1,0,7.146e-09
0,1,0,0,2.307e-17
0.087,0.913,0.994,0.295541413675982,0.00412
0.011,0.989,0.011,0.0605477370064927,0.0001853
0.474,0.526,0.949,0.691794570598635,0.126
0,1,1,0,1.714e-05
0.241,0.759,0.978,0.552229868967606,0.0229
0.648,0.352,0.694,0.648675933935333,0.222
0,1,0,0,1.46e-09
0,1,1,0,3.319e-09
0,1,0,0,1.915e-30
0,1,1,0,9.668e-10
0,1,0,0,1.015e-19
0,1,0,0,1.37e-13
0,1,0,0,2.959e-16
0.022,0.978,0.998,0.105723887714203,0.0001155
0,1,0,0,4.935e-54
0,1,0,0,4.898e-53
0,1,0,0,1.093e-13
0,1,1,0,7.106e-24
0,1,0,0,1.283e-57
0.505,0.495,0.963,0.693097179726579,0.0913
0.721,0.279,0.826,0.592006373871528,0.681
0,1,1,0,2.348e-08
0,1,0,0,1.191e-11
0,1,0,0,1.006e-06
0,1,0,0,3.292e-31
0,1,0,0,1.263e-08
0.409,0.591,0.981,0.676492513873627,0.0441
0.731,0.269,0.9,0.582261678792154,0.763
0,1,0,0,1.062e-19
0,1,1,0,6.251e-06
0.371,0.629,0.423,0.659485753290202,0.0779
0.688,0.312,0.773,0.620691563887438,0.498
0,1,1,0,2.025e-14
0,1,1,0,6.014e-10
0,1,1,0,2.533e-06
0.713,0.287,0.874,0.599443630303733,0.9
0,1,1,0,7.102e-09
0.66,0.34,0.736,0.641035477881156,0.355
0.408,0.592,0.978,0.676122343973908,0.0495
0,1,1,0,7.81e-10
0.026,0.974,0.999,0.120550159245749,0.0003051
0,1,0,0,6.224e-29
0,1,0,0,5.655e-07
0,1,0,0,6.837e-08
0.779,0.221,0.882,0.528170717213401,0.918
0,1,1,0,1.088e-14
0,1,1,0,2.086e-12
0,1,1,0,4.867e-20
0,1,1,0,3.699e-08
0.761,0.239,0.908,0.549924504737763,0.704
0.333,0.667,0.363,0.636282869192928,0.0737
0.277,0.723,0.976,0.590097562147457,0.0285
0,1,1,0,1.421e-10
0.082,0.918,0.088,0.283627096116858,0.00663
0.391,0.609,0.979,0.669193297992532,0.0471
0,1,0,0,5.55e-11
0,1,1,0,1.052e-23
0.592,0.408,0.972,0.676122343973908,0.159
0.312,0.688,0.335,0.620691563887438,0.0378
0,1,1,0,1.418e-18
0.06,0.94,0.999,0.226967522500604,0.0014
0.019,0.981,0.019,0.0941213555443535,0.0001133
0,1,0,0,2.077e-08
0,1,0,0,6.757e-57
0,1,1,0,1.634e-10
0.594,0.406,0.952,0.675369580482422,0.155
0,1,0,0,1.365e-05
0,1,0,0,2.416e-08
0,1,0,0,2.837e-13
0,1,1,0,2.059e-16
0,1,0,0,0.0001424
0.019,0.981,0.999,0.0941213555443535,0.0001267
0.079,0.921,0.082,0.276320205246105,0.00234
0.437,0.563,0.94,0.685188042082719,0.0751
0.128,0.872,0.131,0.382567027551796,0.007
0,1,1,0,3.122e-11
0.091,0.909,0.993,0.304845373281775,0.0028
0.006,0.994,0.006,0.0366779387501341,3.765e-05
0,1,0,0,6.358e-07
0,1,0,0,1.899e-08
0,1,1,0,3.965e-57
0.235,0.765,0.246,0.54524767028096,0.0142
0,1,0,0,4.272e-08
0,1,1,0,3.585e-05
0,1,0,0,5.806e-06
0.352,0.648,0.982,0.648675933935333,0.0372
0.524,0.476,0.935,0.691994737783755,0.146
0.678,0.322,0.756,0.628367820093249,0.374
0.672,0.328,0.784,0.632753210600581,0.518
0,1,1,0,1.163e-07
0.645,0.355,0.852,0.650487009385091,0.697
0.31,0.69,0.34,0.619100664425587,0.0282
0,1,0,0,1.078e-17
0.253,0.747,0.982,0.56560704503986,0.025
0,1,1,0,4.623e-15
0,1,1,0,1.425e-42
0,1,1,0,6.867e-22
0.715,0.285,0.799,0.597613844579356,0.722
0,1,0,0,1.067e-05
0,1,0,0,1.505e-09
0,1,1,0,1.505e-17
0,1,0,0,6.359e-06
0.715,0.285,0.778,0.597613844579356,0.359
0,1,1,0,1.017e-16
0,1,0,0,5.62e-16
0,1,1,0,2.94e-13
0.574,0.426,0.961,0.682154843983954,0.154
0,1,0,0,1.085e-10
0,1,1,0,1.69e-30
0.609,0.391,0.69,0.669193297992532,0.369
0,1,1,0,4.831e-06
0.73,0.27,0.894,0.583258840128597,0.734
0,1,0,0,1.015e-31
0.002,0.998,1,0.0144272148621761,0.0002425
0.657,0.343,0.912,0.643005335459831,0.531
0,1,0,0,2.423e-05
0,1,0,0,6.385e-15
0,1,1,0,4.108e-33
0,1,0,0,4.395e-05
0,1,1,0,2.219e-09
0,1,0,0,7.923e-11
0,1,0,0,1.017e-07
0,1,0,0,1.49e-27
0.712,0.288,0.913,0.600351187777658,0.524
0,1,1,0,5.786e-22
0.019,0.981,0.02,0.0941213555443535,0.00102
0,1,0,0,8.613e-60
0,1,1,0,1.344e-81
0.151,0.849,0.995,0.42443977444475,0.0067
0,1,0,0,2.737e-05
0,1,1,0,7.772e-15
0,1,0,0,1.562e-13
0,1,1,0,9.589e-11
0.655,0.345,0.903,0.644296375765228,0.445
0,1,0,0,2.033e-08
0.168,0.832,0.181,0.452700739679144,0.0166
0,1,1,0,5.38e-10
0,1,0,0,1.187e-06
0,1,0,0,3.974e-35
0,1,1,0,3.295e-15
0,1,1,0,6.126e-07
0,1,1,0,1.129e-06
0.113,0.887,0.999,0.352741956159046,0.00526
0,1,0,0,4.553e-51
0.339,0.661,0.359,0.6403699544382,0.0334
0.001,0.999,1,0.00790725511223209,0.0001403
0,1,0,0,7.51e-10
0,1,1,0,8.328e-06
0.508,0.492,0.543,0.693019175098053,0.0836
0.016,0.984,1,0.0820339767268832,0.0002418
0,1,1,0,1.323e-06
0,1,0,0,4.909e-38
0.698,0.302,0.775,0.612549386006791,0.429
0,1,1,0,4.216e-06
0.4,0.6,0.986,0.673011667009257,0.0433
0,1,0,0,2.127e-11
0,1,1,0,1.541e-06
0,1,1,0,8.475e-32
0,1,0,0,1.506e-27
0,1,0,0,1.851e-11
0,1,1,0,9.289e-11
0,1,1,0,5.347e-07
0,1,0,0,1.278e-07
0.794,0.206,0.883,0.508608519981258,0.756
0.038,0.962,0.038,0.161535103372125,0.00078
0.654,0.346,0.705,0.644935254959156,0.239
0.055,0.945,0.062,0.212982197312764,0.0009593
0,1,0,0,6.835e-27
0.579,0.421,0.937,0.68061272148709,0.187
0.43,0.57,0.454,0.683314913574166,0.0547
0,1,0,0,1.438e-26
0.293,0.707,0.31,0.604816023751259,0.0378
0.583,0.417,0.936,0.6793051948497,0.216
0.027,0.973,0.03,0.124153971633037,0.0006067
0,1,1,0,1.589e-06
0.542,0.458,0.588,0.689615019877552,0.13
0.685,0.315,0.802,0.623042993542438,0.696
0,1,0,0,3.718e-10
0.66,0.34,0.857,0.641035477881156,0.69
0,1,0,0,2.581e-48
0,1,0,0,2.321e-15
0.025,0.975,0.027,0.116906849137531,0.00117
0.548,0.452,0.6,0.688532076450456,0.175
0,1,0,0,1.221e-48
0,1,0,0,5.877e-17
0.599,0.401,0.947,0.673415049361049,0.204
0.001,0.999,0.001,0.00790725511223209,4.299e-05
0.513,0.487,0.552,0.692809142468311,0.088
0.547,0.453,0.932,0.688722651213499,0.201
0,1,1,0,7.804e-20
0.026,0.974,1,0.120550159245749,0.0008857
0,1,0,0,4.007e-08
0.747,0.253,0.919,0.56560704503986,0.628
0.428,0.572,0.462,0.682743048203884,0.0548
0,1,1,0,9.72e-31
0,1,1,0,3.986e-29
0,1,0,0,1.641e-25
0.303,0.697,0.336,0.613384807612713,0.0341
0.658,0.342,0.763,0.642353162094667,0.458
0.636,0.364,0.899,0.655684984878046,0.411
0,1,0,0,5.394e-52
0.313,0.687,0.979,0.621480021586315,0.0342
0,1,0,0,1.999e-36
0,1,0,0,4.99e-15
0.018,0.982,0.018,0.0901499225359206,0.00137
0,1,0,0,4.22e-07
0.637,0.363,0.705,0.655124779544528,0.364
0,1,1,0,9.421e-27
0.02,0.98,0.02,0.098039113279732,0.00047
0,1,0,0,5.289e-28
0.012,0.988,1,0.0650018938097877,3.287e-06
0.574,0.426,0.613,0.682154843983954,0.154
0,1,1,0,7.099e-06
0.582,0.418,0.961,0.679638239607092,0.14
0.058,0.942,0.061,0.221428615719511,0.00227
0,1,0,0,2.116e-15
0,1,1,0,3.817e-17
0,1,1,0,2.483e-49
0,1,1,0,2.403e-15
0.71,0.29,0.851,0.60215168259268,0.996
0.378,0.622,0.972,0.663076535354163,0.0445
0,1,0,0,6.626e-43
0,1,0,0,2.954e-33
0.603,0.397,0.647,0.67177650592283,0.183
0.486,0.514,0.529,0.692755129322542,0.0789
0,1,0,0,3.754e-23
0,1,1,0,2.127e-18
0.683,0.317,0.756,0.624587427576189,0.369
0.696,0.304,0.841,0.61421549416189,0.933
0,1,1,0,1.593e-06
0,1,0,0,6.01e-06
0,1,1,0,4.56e-40
0.223,0.777,0.241,0.530678821710868,0.0217
0,1,1,0,2.014e-06
0.648,0.352,0.924,0.648675933935333,0.393
0,1,0,0,2.66e-12
0,1,1,0,2.102e-19
0,1,1,0,1.388e-18
0,1,1,0,1.512e-17
0,1,1,0,3.498e-55
0.249,0.751,0.271,0.56123386328756,0.0231
0,1,1,0,1.032e-38
0.012,0.988,0.012,0.0650018938097877,0.0001352
0,1,1,0,1.135e-07
0,1,0,0,2.454e-09
0,1,0,0,2.829e-05
0,1,0,0,8.607e-15
0.772,0.228,0.837,0.536848402961397,0.616
0,1,1,0,4.334e-29
0,1,1,0,3.508e-53
0.444,0.556,0.47,0.686862001658906,0.0741
0,1,0,0,5.592e-05
0,1,1,0,4.584e-06
0,1,0,0,1.006e-13
0,1,0,0,3.778e-19
0.764,0.236,0.878,0.546425182072871,0.98
0.537,0.463,0.923,0.69040667618895,0.2
0.442,0.558,0.939,0.686404010095023,0.119
0,1,0,0,2.328e-06
0,1,1,0,7.187e-20
0,1,1,0,2.62e-54
0,1,1,0,1.72e-06
0.77,0.23,0.872,0.53927634149705,0.935
0,1,0,0,1.195e-23
0,1,0,0,3.379e-13
0.662,0.338,0.905,0.639699968278577,0.454
0.065,0.935,0.066,0.240509101553998,0.00329
0.072,0.928,0.998,0.258781870387387,0.00358
0,1,1,0,1.753e-38
0,1,0,0,7.373e-05
0.031,0.969,1,0.138201266720945,0.00111
0.63,0.37,0.903,0.658955680683063,0.356
0.006,0.994,0.006,0.0366779387501341,9.377e-05
0.646,0.354,0.691,0.64988769228922,0.218
0.755,0.245,0.843,0.556775116715665,0.76
0,1,0,0,6.935e-10
0,1,1,0,3.273e-15
0.688,0.312,0.877,0.620691563887438,0.695
0,1,0,0,4.91e-22
0,1,1,0,8.071e-31
0,1,1,0,7.208e-09
0,1,0,0,3.431e-10
0,1,0,0,1.416e-16
0.013,0.987,0.013,0.0693716084142908,8.432e-09
0.665,0.335,0.765,0.637663168784597,0.564
0,1,1,0,1.386e-16
0,1,0,0,1.23e-32
0,1,0,0,1.094e-63
0.728,0.272,0.875,0.585237953862438,0.801
0,1,0,0,1.536e-14
0,1,1,0,1.179e-18
0.379,0.621,0.4,0.663572455375207,0.0367
0,1,1,0,6.376e-17
0,1,1,0,2.248e-07
0,1,1,0,2.401e-23
0,1,1,0,1.791e-11
0,1,1,0,9.973e-09
0.134,0.866,0.998,0.393920414973646,0.00647
0,1,1,0,1.559e-13
0,1,1,0,3.711e-06
0.717,0.283,0.919,0.595764429239173,0.493
0.734,0.266,0.844,0.579239633843151,0.92
0.014,0.986,0.999,0.0736633107293249,0.0005827
0,1,0,0,2.118e-08
0,1,1,0,2.094e-36
0,1,1,0,5.961e-15
0.715,0.285,0.886,0.597613844579356,0.773
0.638,0.362,0.949,0.654560249527232,0.182
0,1,0,0,1.258e-15
0,1,1,0,3.822e-32
0,1,0,0,2.446e-05
0,1,0,0,1.844e-36
0.041,0.959,0.999,0.171109283434043,0.00101
0,1,1,0,2.387e-10
0,1,0,0,1.791e-16
0.601,0.399,0.931,0.672604117987422,0.238
0,1,1,0,3.064e-08
0.399,0.601,0.426,0.672604117987422,0.0475
0,1,0,0,2.541e-14
0,1,0,0,1.622e-15
0,1,1,0,1.706e-09
0,1,1,0,1.17e-06
0,1,0,0,4.551e-10
0,1,0,0,9.152e-23
0,1,1,0,4.586e-10
0,1,0,0,1.557e-05
0.612,0.388,0.916,0.667845050310763,0.326
0.015,0.985,0.016,0.0778825094110964,0.0004353
0.685,0.315,0.912,0.623042993542438,0.498
0.028,0.972,0.999,0.127719710761685,0.00217
0.006,0.994,0.006,0.0366779387501341,6.154e-05
0.763,0.237,0.879,0.54759714766307,0.945
0.404,0.596,0.44,0.674600230714884,0.0816
0,1,1,0,9.461e-15
0,1,1,0,2.863e-10
0.007,0.993,0.007,0.0417083585418935,0.0001805
0,1,0,0,6.416e-17
0,1,1,0,2.655e-08
0.334,0.666,0.977,0.63697526674802,0.046
0.14,0.86,0.148,0.404963485063939,0.00611
0.032,0.968,0.994,0.141627069608819,0.00093
0.023,0.977,0.026,0.109495452969968,0.00114
0,1,1,0,7.907e-25
0.006,0.994,0.007,0.0366779387501341,0.0002139
0,1,0,0,1.27e-20
0,1,1,0,3.125e-07
0.743,0.257,0.838,0.56989556393877,0.802
0,1,0,0,6.238e-27
0.375,0.625,0.423,0.661563238157982,0.0756
0,1,0,0,1.699e-14
0.668,0.332,0.701,0.635585969379383,0.171
0.056,0.944,0.996,0.215816483459616,0.00469
0,1,0,0,1.449e-09
0,1,0,0,4.649e-09
0,1,0,0,4.979e-25
0.503,0.497,0.94,0.693129180451944,0.211
0,1,1,0,3.448e-12
0.001,0.999,0.999,0.00790725511223209,0.0006686
0.005,0.995,1,0.0314790659471667,0.0001803
0.242,0.758,0.272,0.553374342935301,0.0237
0.72,0.28,0.835,0.592953317447474,0.855
0,1,1,0,2.044e-08
0.008,0.992,0.009,0.0465944242221046,0.0003481
0.221,0.779,0.981,0.528170717213401,0.021
0,1,0,0,1.063e-18
0,1,1,0,9.825e-13
0.666,0.334,0.871,0.63697526674802,0.726
0,1,1,0,2.176e-10
0,1,0,0,2.756e-16
0.694,0.306,0.793,0.615862697192986,0.579
0.321,0.679,0.976,0.627620932845047,0.0326
0,1,1,0,3.772e-23
0.523,0.477,0.939,0.692088807122444,0.152
0.572,0.428,0.616,0.682743048203884,0.138
0,1,1,0,7.054e-10
0.374,0.626,0.392,0.66105027844044,0.0436
0.644,0.356,0.77,0.65108195918761,0.608
0.032,0.968,0.999,0.141627069608819,0.0007879
0.662,0.338,0.83,0.639699968278577,0.941
0,1,1,0,5.661e-23
0.184,0.816,0.196,0.477404985931372,0.0123
0.319,0.681,0.35,0.626113386705954,0.0318
0,1,0,0,8.301e-18
0,1,1,0,6.822e-07
0.771,0.229,0.897,0.538065204150889,0.986
0.011,0.989,1,0.0605477370064927,8.405e-05
0,1,1,0,5.76e-21
0.354,0.646,0.976,0.64988769228922,0.0364
0.713,0.287,0.83,0.599443630303733,0.81
0.018,0.982,0.018,0.0901499225359206,0.0006486
0.334,0.666,0.981,0.63697526674802,0.0315
0,1,1,0,3.314e-24
0,1,0,0,8.741e-10
0.396,0.604,0.429,0.671356435772735,0.0414
0.43,0.57,0.972,0.683314913574166,0.0613
0,1,1,0,2.277e-50
0,1,0,0,4.024e-07
0.35,0.65,0.968,0.647446639034633,0.0409
0.652,0.348,0.944,0.646199761644442,0.268
0.363,0.637,0.983,0.655124779544528,0.04
0,1,1,0,4.031e-12
0,1,1,0,1.674e-46
0,1,1,0,2.08e-24
0,1,0,0,4.223e-15
0,1,1,0,3.521e-36
0.387,0.613,0.424,0.667387217050714,0.0715
0,1,0,0,2.703e-07
0,1,0,0,1.035e-08
0.379,0.621,0.422,0.663572455375207,0.0366
0,1,0,0,3.726e-15
0.61,0.39,0.963,0.668748086851809,0.147
0,1,0,0,7.424e-11
0,1,0,0,1.164e-15
0,1,1,0,1.702e-35
0,1,0,0,2.449e-22
0,1,0,0,1.074e-19
0.222,0.778,0.235,0.529427664395702,0.0167
0.047,0.953,0.996,0.18958533851931,0.00168
0,1,0,0,3.416e-38
0,1,1,0,7.138e-25
0,1,1,0,5.587e-22
0,1,0,0,3.509e-09
0,1,1,0,3.949e-05
0.032,0.968,0.999,0.141627069608819,0.0013
0.391,0.609,0.424,0.669193297992532,0.0738
0,1,0,0,5.62e-70
0.745,0.255,0.917,0.567761832273967,0.743
0.719,0.281,0.771,0.593895300697922,0.337
0,1,0,0,4.852e-47
0,1,1,0,3.29e-08
0.009,0.991,0.009,0.051354154265093,0.0005953
0,1,1,0,8.569e-33
0,1,0,0,1.028e-12
0,1,0,0,7.892e-09
0,1,0,0,4.966e-07
0.014,0.986,0.014,0.0736633107293249,0.0007874
0.135,0.865,0.989,0.395782160396873,0.00941
0,1,0,0,1.112e-07
0.705,0.295,0.786,0.606568097879241,0.507
0.017,0.983,1,0.0861218870285167,0.0005623
0,1,0,0,4.878e-08
0,1,1,0,1.821e-09
0,1,0,0,2.914e-08
0,1,1,0,1.896e-11
0,1,1,0,2.87e-36
0.752,0.248,0.884,0.560127234322942,0.835
0.719,0.281,0.853,0.593895300697922,0.974
0,1,0,0,4.776e-16
0.676,0.324,0.827,0.629847860460379,0.981
0,1,0,0,1.676e-17
0.397,0.603,0.954,0.67177650592283,0.0386
0,1,0,0,2.764e-35
0,1,1,0,6.075e-12
0,1,0,0,1.372e-06
0.501,0.499,0.523,0.693145180558612,0.0653
0,1,0,0,5.158e-30
0,1,1,0,3.585e-10
0.622,0.378,0.922,0.663076535354163,0.236
0,1,1,0,1.14e-21
0,1,0,0,9.55e-13
0,1,0,0,1.457e-09
0.632,0.368,0.935,0.657882660635157,0.268
0,1,1,0,1.623e-14
0,1,0,0,1.19e-47
0.435,0.565,0.954,0.68467321736082,0.0817
0.05,0.95,0.054,0.198515243345873,0.00126
0.417,0.583,0.447,0.6793051948497,0.0593
0,1,1,0,3.779e-46
0,1,1,0,9.248e-09
0,1,0,0,9.763e-21
0,1,1,0,1.199e-08
0,1,0,0,1.043e-23
0,1,1,0,2.938e-05
0.22,0.78,0.989,0.52690796143138,0.0184
0.615,0.385,0.913,0.666458900580332,0.302
0,1,1,0,4.227e-26
0,1,1,0,3.473e-22
0.731,0.269,0.825,0.582261678792154,0.678
0.011,0.989,0.011,0.0605477370064927,0.0001774
0.4,0.6,0.418,0.673011667009257,0.0444
0.014,0.986,1,0.0736633107293249,9.027e-05
0.126,0.874,0.994,0.378711510383313,0.00696
0.638,0.362,0.723,0.654560249527232,0.403
0,1,1,0,6.149e-16
0.085,0.915,0.997,0.290814402453358,0.00459
0,1,1,0,0.0001563
0,1,0,0,9.398e-07
0,1,0,0,3.255e-24
0,1,0,0,1.224e-10
0.011,0.989,0.998,0.0605477370064927,0.0003093
0,1,0,0,1.634e-72
0,1,0,0,1.094e-20
0,1,1,0,8.173e-14
0,1,0,0,1.013e-11
0,1,0,0,4.937e-22
0.68,0.32,0.743,0.626869457572426,0.262
0.417,0.583,0.956,0.6793051948497,0.071
0.439,0.561,0.964,0.685686608643904,0.0641
0.109,0.891,0.995,0.344419474942669,0.00738
0,1,0,0,8.555e-11
0.722,0.278,0.92,0.591054459095519,0.463
0,1,0,0,1.912e-34
0,1,1,0,2.768e-08
0,1,1,0,1.196e-14
0,1,0,0,7.529e-38
0,1,1,0,4.418e-06
0,1,1,0,7.211e-13
0.201,0.799,0.208,0.501785596795009,0.0106
0.04,0.96,0.041,0.167944147734173,0.00169
0,1,0,0,5.964e-11
0,1,1,0,2.535e-11
0.184,0.816,0.984,0.477404985931372,0.0148
0.199,0.801,0.981,0.499013000260207,0.0156
0,1,1,0,1.503e-17
0,1,0,0,3.755e-24
0.573,0.427,0.617,0.682450989655969,0.137
0,1,1,0,2.484e-06
0.587,0.413,0.945,0.677931853850138,0.189
0.532,0.468,0.577,0.691097780162924,0.131
0,1,1,0,1.178e-06
0,1,0,0,2.329e-11
0.237,0.763,0.985,0.54759714766307,0.0231
0.676,0.324,0.886,0.629847860460379,0.574
0,1,1,0,5.254e-10
0,1,0,0,1.805e-18
0,1,1,0,3.238e-35
0,1,1,0,4.167e-14
0,1,1,0,4.529e-13
0,1,0,0,2.052e-20
0.485,0.515,0.512,0.692697113035634,0.0739
0,1,0,0,2.717e-09
0,1,0,0,2.39e-08
0,1,0,0,1.077e-13
0.185,0.815,0.209,0.478891139051344,0.00805
0.001,0.999,1,0.00790725511223209,2.474e-05
0,1,0,0,4.618e-10
0.505,0.495,0.952,0.693097179726579,0.125
0,1,1,0,2.952e-07
0.006,0.994,0.999,0.0366779387501341,0.0003593
0.677,0.323,0.822,0.629110126819609,0.892
0.558,0.442,0.929,0.686404010095023,0.191
0,1,0,0,7.198e-10
0,1,1,0,0.0001706
0,1,0,0,7.801e-09
0,1,1,0,8.651e-54
0,1,1,0,1.882e-16
0.634,0.366,0.743,0.656792441844036,0.523
0.744,0.256,0.863,0.568831323279549,0.766
0,1,0,0,3.892e-45
0,1,0,0,1.055e-37
0,1,0,0,2.05e-13
0.008,0.992,1,0.0465944242221046,8.348e-05
0,1,0,0,6.121e-09
0.419,0.581,0.962,0.679967173803801,0.0805
0,1,0,0,1.007e-08
0,1,1,0,7.501e-23
0,1,1,0,7.642e-07
0,1,0,0,3.908e-64
0,1,1,0,9.615e-06
0,1,1,0,5.102e-05
0.764,0.236,0.909,0.546425182072871,0.683
0.209,0.791,0.225,0.512628727817277,0.0211
0,1,0,0,1.541e-10
0,1,0,0,2.019e-10
0,1,1,0,5.332e-14
0,1,1,0,1.401e-18
0.404,0.596,0.955,0.674600230714884,0.0845
0,1,1,0,1.15e-05
0,1,0,0,6.256e-22
0,1,0,0,4.918e-26
0,1,1,0,8.152e-17
0.37,0.63,0.41,0.658955680683063,0.051
0.554,0.446,0.929,0.687303789923193,0.164
0,1,0,0,4.006e-10
0.029,0.971,0.031,0.131248699201653,0.0008442
0,1,0,0,2.844e-23
0,1,1,0,4.009e-20
0,1,1,0,2.455e-09
0,1,1,0,1.095e-30
0.725,0.275,0.846,0.588168777354191,0.839
0,1,0,0,3.296e-21
0,1,0,0,1.89e-42
0,1,1,0,5.502e-18
0.58,0.42,0.933,0.680292000192154,0.216
0,1,1,0,8.346e-29
0.051,0.949,0.052,0.201449221832375,0.00239
0.611,0.389,0.656,0.668298672260717,0.184
0,1,1,0,9.647e-11
0,1,1,0,9.222e-13
0,1,0,0,8.256e-13
0.57,0.43,0.633,0.683314913574166,0.216
0,1,0,0,2.41e-18
0.5,0.5,0.951,0.693147180559945,0.0965
